0 0 0
0.1 0.0444253 0
0.2 0.129819 0
0.3 -0.213067 0
0.4 -0.286446 0
0.5 -0.351011 0
0.6 -0.408651 0
0.7 -0.460889 0
0.8 -0.50884 0
0.9 -0.553316 0
1 -0.59492 0
1.1 0.634109 0
1.2 -0.643014 0
1.3 -0.622602 0
1.4 -0.60725 0
1.5 -0.595286 0
1.6 0.585703 0
1.7 0.577856 0
1.8 -0.571314 0
1.9 1.5164e-16 0
2 -6.21596e-17 0
2.1 -6.34268e-17 0
2.2 0.553326 0
2.3 0.550154 0
2.4 -3.31327e-17 0
2.5 0.544816 0
2.6 0.542549 0
2.7 8.52506e-17 0
2.8 0.538637 0
2.9 0.536937 0
3 -1.74014e-17 0
3.1 -1.74981e-16 -3.99695e-16
3.2 0.532628 0
3.3 -1.76682e-16 0
3.4 0.530271 0
3.5 -1.24692e-16 0
3.6 -5.36334e-17 0
3.7 0.52731 0
3.8 0.526447 0
3.9 0.525637 0
4 1.44769e-16 0
4.1 0.524157 0
4.2 5.45579e-17 7.82809e-16
4.3 0.522838 0
4.4 0.52223 0
4.5 9.15129e-17 0
4.6 -0.521108 0
4.7 2.20444e-16 0
4.8 0.520093 0
4.9 0.519621 0
5 4.89189e-16 0
5.1 0.518741 0
5.2 0.51833 0
5.3 0.517936 0
5.4 0.517559 0
5.5 -2.60174e-16 0
5.6 0.516851 0
5.7 0.516517 0
5.8 0.516197 0
5.9 0.515889 0
6 4.67099e-17 0
6.1 0.515306 0
6.2 1.40391e-16 -7.55435e-16
6.3 0.514765 0
6.4 0.514508 0
6.5 0.51426 0
6.6 -1.12688e-16 0
6.7 0.513789 0
6.8 0.513565 0
6.9 0.513348 0
7 0.513138 0
7.1 0.512934 0
7.2 0.512737 0
7.3 0.512545 0
7.4 0.512359 0
7.5 0.512179 0
7.6 0.512004 0
7.7 1.70243e-16 0
7.8 0.511668 0
7.9 -3.78717e-17 0
8 0.51135 0
8.1 -3.41186e-16 0
